Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
T T Limited,TTL,T T Limited,Active,,,,,,,,,
Vipul Limited,VIPULLTD,Vipul Limited,Active,,,,,,,,,
Modison Metals Limited,MODISNME,Modison Metals Limited,Active,,,,,,,,,
Wonder Fibromats Limited,WFL,Wonder Fibromats Limited,Active,,,,,,,,,
Apollo Sindoori Hotels Limited,APOLSINHOT,Apollo Sindoori Hotels Limited,Active,,,,,,,,,
De Nora India Limited,DENORA,De Nora India Limited,Active,,,,,,,,,
Stel Holdings Limited,STEL,Stel Holdings Limited,Active,,,,,,,,,
SMS Lifesciences India Limited,SMSLIFE,SMS Lifesciences India Limited,Active,,,,,,,,,
SPML Infra Limited,SPMLINFRA,SPML Infra Limited,Active,,,,,,,,,
IL&FS Investment Managers Limited,IVC,IL&FS Investment Managers Limited,Active,,,,,,,,,
Ansal Properties & Infrastructure Limited,ANSALAPI,Ansal Properties & Infrastructure Limited,Active,,,,,,,,,
Rajshree Polypack Limited,RPPL,Rajshree Polypack Limited,Active,,,,,,,,,
PIL ITALICA LIFESTYLE LIMITED,PILITA,PIL ITALICA LIFESTYLE LIMITED,Active,,,,,,,,,
BEW Engineering Limited,BEWLTD,BEW Engineering Limited,Active,,,,,,,,,
Shigan Quantum Technologies Limited,SHIGAN,Shigan Quantum Technologies Limited,Active,,,,,,,,,
Future Supply Chain Solutions Limited,FSC,Future Supply Chain Solutions Limited,Active,,,,,,,,,
Vaidya Sane Ayurved Laboratories Limited,MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,Active,,,,,,,,,
Revathi Equipment Limited,REVATHI,Revathi Equipment Limited,Active,,,,,,,,,
Autoline Industries Limited,AUTOIND,Autoline Industries Limited,Active,,,,,,,,,
Raj Television Network Limited,RAJTV,Raj Television Network Limited,Active,,,,,,,,,
Osia Hyper Retail Limited,OSIAHYPER,Osia Hyper Retail Limited,Active,,,,,,,,,
Bombay Rayon Fashions Limited,BRFL,Bombay Rayon Fashions Limited,Active,,,,,,,,,
Lovable Lingerie Limited,LOVABLE,Lovable Lingerie Limited,Active,,,,,,,,,
Career Point Limited,CAREERP,Career Point Limited,Active,,,,,,,,,
Tembo Global Industries Limited,TEMBO,Tembo Global Industries Limited,Active,,,,,,,,,
Astron Paper & Boaselected Mill Limited,ASTRON,Astron Paper & Boaselected Mill Limited,Active,,,,,,,,,
Shah Alloys Limited,SHAHALLOYS,Shah Alloys Limited,Active,,,,,,,,,
Indian Terrain Fashions Limited,INDTERRAIN,Indian Terrain Fashions Limited,Active,,,,,,,,,
Compuage Infocom Limited,COMPINFO,Compuage Infocom Limited,Active,,,,,,,,,
